EF_Scale,longitude,latitude,altitude
EF1,-86.75415,36.17611,3
EF2,-86.75417,36.17677,4
EF1,-86.75426,36.1766,3
EF1,-86.75444,36.17553,3
EF1,-86.7546,36.1759,3
EF1,-86.75473,36.1761,3
EF1,-86.7548,36.1772,3
EF1,-86.75482,36.17635,3
EF1,-86.75516,36.17702,3
EF1,-86.75516,36.17637,3
EF2,-86.75519,36.17606,4
EF2,-86.75542,36.17607,4
EF1,-86.75543,36.17507,3
EF2,-86.75558,36.17566,4
EF2,-86.75559,36.17632,4
EF2,-86.75579999999999,36.17673,4
EF1,-86.75608,36.17813,3
EF2,-86.7561,36.17724,4
EF1,-86.75615999999999,36.17795,3
EF1,-86.75628,36.17607,3
EF1,-86.75637999999999,36.17727,3
EF2,-86.75641,36.17657,4
EF1,-86.75652,36.1772,3
EF2,-86.75663,36.17647,4
EF1,-86.75668,36.17714,3
EF1,-86.75684,36.17711,3
EF1,-86.75697,36.17701,3
EF1,-86.75727999999999,36.17692,3
EF1,-86.75729,36.17736,3
EF2,-86.75737,36.17627,4
EF1,-86.75743,36.17731,3
EF1,-86.75748,36.17685,3
EF1,-86.75762,36.1768,3
EF1,-86.75762,36.17731,3
EF1,-86.75775,36.17672,3
EF1,-86.75776999999999,36.17726,3
EF1,-86.75819,36.17591,3
EF1,-86.75830000000001,36.17401,3
EF1,-86.75832,36.17648,3
EF1,-86.75843999999999,36.17782,3
EF1,-86.75849,36.17685,3
EF1,-86.75863,36.17565,3
EF1,-86.75882,36.17607,3
EF2,-86.75891,36.17573,4
EF1,-86.75903,36.17601,3
EF1,-86.75918,36.17415,3
EF1,-86.75924000000001,36.17484,3
EF2,-86.75928999999999,36.17672,4
EF1,-86.75941,36.17545,3
EF1,-86.76012,36.17517,3
EF1,-86.76054000000001,36.17421,3
EF1,-86.76066,36.17638,3
EF1,-86.76084,36.17494,3
EF1,-86.7614,36.17668,3
EF1,-86.76164,36.17527,3
EF1,-86.762,36.17572,3
EF1,-86.76204,36.17525,3
EF1,-86.76224000000001,36.17551,3
EF1,-86.76228,36.17488,3
EF1,-86.76228,36.1734,3
EF1,-86.76237999999999,36.17573,3
EF1,-86.76257,36.17538,3
EF1,-86.76269000000001,36.176,3
EF1,-86.7627,36.17561,3
EF1,-86.76278000000001,36.17584,3
EF1,-86.76291000000001,36.17525,3
EF1,-86.76304,36.17548,3
EF1,-86.76340999999999,36.17524,3
EF1,-86.7638,36.17487,3
EF1,-86.76497999999999,36.17446,3
EF1,-86.76501,36.17603,3
